embed_dim,hidden_dims,lr,config
64,2,0.01,embeddim64_hiddendims2_lr0.01
64,3,0.01,embeddim64_hiddendims3_lr0.01
64,4,0.01,embeddim64_hiddendims4_lr0.01
128,0,0.01,embeddim128_hiddendims0_lr0.01
128,1,0.01,embeddim128_hiddendims1_lr0.01
128,2,0.01,embeddim128_hiddendims2_lr0.01
128,3,0.01,embeddim128_hiddendims3_lr0.01
128,4,0.01,embeddim128_hiddendims4_lr0.01
256,0,0.01,embeddim256_hiddendims0_lr0.01
256,1,0.01,embeddim256_hiddendims1_lr0.01
256,2,0.01,embeddim256_hiddendims2_lr0.01
256,3,0.01,embeddim256_hiddendims3_lr0.01
256,4,0.01,embeddim256_hiddendims4_lr0.01
