embed_dim,hidden_dims,lr,config,metric,mean,sd,ci
16,1,0.001,embeddim16_hiddendims1_lr1e-3,best_epoch,280.4,39.37384918953188,48.88909100934629
16,1,0.001,embeddim16_hiddendims1_lr1e-3,loss,0.1551800057291984,0.02251179923856681,0.02795209064931937
16,1,0.001,embeddim16_hiddendims1_lr1e-3,mae,0.5123325526714325,0.01583042847271886,0.019656073110714833
16,1,0.001,embeddim16_hiddendims1_lr1e-3,mse,0.5901423692703247,0.03839286372831231,0.047671036679388636
16,1,0.001,embeddim16_hiddendims1_lr1e-3,num_epochs,287.2,26.385602134497514,32.762052241334025
16,1,0.001,embeddim16_hiddendims1_lr1e-3,r2,0.8458590269088745,0.00979402925401255,0.012160893522061868
16,1,0.001,embeddim16_hiddendims1_lr1e-3,rmse,0.7678773403167725,0.025168438716736293,0.03125074424556926
16,1,0.001,embeddim16_hiddendims1_lr1e-3,time,59.40480297729373,4.877114525881046,6.055737521903127
16,1,0.005,embeddim16_hiddendims1_lr5e-3,best_epoch,135.2,26.071056748816304,32.371492560132545
16,1,0.005,embeddim16_hiddendims1_lr5e-3,loss,0.08663561493158334,0.01852659381265704,0.023003804546520904
16,1,0.005,embeddim16_hiddendims1_lr5e-3,mae,0.5022514939308167,0.016871720037182434,0.02094900735794252
16,1,0.005,embeddim16_hiddendims1_lr5e-3,mse,0.5706475973129272,0.03821492656213789,0.04745009850620745
16,1,0.005,embeddim16_hiddendims1_lr5e-3,num_epochs,154.2,20.042454939452902,24.88599473393992
16,1,0.005,embeddim16_hiddendims1_lr5e-3,r2,0.8508893013000488,0.010980698308331328,0.013634337764592016
16,1,0.005,embeddim16_hiddendims1_lr5e-3,rmse,0.755082106590271,0.024965052603127952,0.030998207030567205
16,1,0.005,embeddim16_hiddendims1_lr5e-3,time,31.204247829690576,4.2654933044084915,5.296309470663243
16,2,0.0001,embeddim16_hiddendims2_lr1e-4,best_epoch,298.2,0.8366600265340772,1.0388506336835697
16,2,0.0001,embeddim16_hiddendims2_lr1e-4,loss,0.5704585611820221,0.03369010422923222,0.041831789517170107
16,2,0.0001,embeddim16_hiddendims2_lr1e-4,mae,0.5610525727272033,0.012978326995606575,0.016114721387360746
16,2,0.0001,embeddim16_hiddendims2_lr1e-4,mse,0.6916534543037415,0.03371491779914911,0.04186259963360281
16,2,0.0001,embeddim16_hiddendims2_lr1e-4,num_epochs,299.0,0.0,0.0
16,2,0.0001,embeddim16_hiddendims2_lr1e-4,r2,0.8193801403045654,0.007373784154929789,0.009155762315701697
16,2,0.0001,embeddim16_hiddendims2_lr1e-4,rmse,0.8314597606658936,0.020252641088550655,0.02514697530819568
