loss_weights,config
"[1.0, 0.001]",lossweights11e-3
"[1.0, 0.0005]",lossweights15e-4
"[1.0, 0.0001]",lossweights11e-4
"[1.0, 5e-05]",lossweights15e-5
"[1.0, 1e-05]",lossweights11e-5
