loss_weights,config,metric,mean,sd,ci
"[1.0, 0.001]",lossweights11e-3,best_epoch,225.56666666666666,62.040967184558,23.166477877121853
"[1.0, 0.001]",lossweights11e-3,kld,17.785484313964844,3.052188663777853,1.139705977598155
"[1.0, 0.001]",lossweights11e-3,loss,8.00036145846049,0.09487849576655046,0.03542821256560736
"[1.0, 0.001]",lossweights11e-3,mae,0.5808233956495921,0.024112266945563978,0.009003668448623072
"[1.0, 0.001]",lossweights11e-3,mse,0.8787823736667633,0.06716265680169906,0.025078948210732564
"[1.0, 0.001]",lossweights11e-3,nb,7.987658325831095,0.07886281128077054,0.029447857694235607
"[1.0, 0.001]",lossweights11e-3,num_epochs,247.36666666666667,57.19867573420846,21.358336533590048
"[1.0, 0.001]",lossweights11e-3,r2,0.7707210123538971,0.017878896172961768,0.006676089549444834
"[1.0, 0.001]",lossweights11e-3,rmse,0.9368110160032909,0.03475273745993183,0.012976885436681646
"[1.0, 0.001]",lossweights11e-3,time,69.46421630146602,16.079372471050217,6.004136355909403
"[1.0, 0.0005]",lossweights15e-4,best_epoch,171.4,44.36805312306406,16.5673033121615
"[1.0, 0.0005]",lossweights15e-4,kld,29.315746307373047,2.8801101132262588,1.0754507908177506
"[1.0, 0.0005]",lossweights15e-4,loss,7.959495894114176,0.10774611237435014,0.04023305957241016
"[1.0, 0.0005]",lossweights15e-4,mae,0.5763386269410451,0.018035911194061845,0.006734719921886802
"[1.0, 0.0005]",lossweights15e-4,mse,0.8723537683486938,0.04857756454009081,0.01813916070803257
"[1.0, 0.0005]",lossweights15e-4,nb,7.9457141876220705,0.07944464439884144,0.029665117751092335
"[1.0, 0.0005]",lossweights15e-4,num_epochs,197.43333333333334,44.960276208911445,16.788443046746732
"[1.0, 0.0005]",lossweights15e-4,r2,0.7724451124668121,0.012122566576405975,0.004526640752888624
"[1.0, 0.0005]",lossweights15e-4,rmse,0.9336521804332734,0.025878597332625698,0.00966322705469423
"[1.0, 0.0005]",lossweights15e-4,time,56.112427235891424,12.64032027593833,4.719973161623212
"[1.0, 0.0001]",lossweights11e-4,best_epoch,140.13333333333333,39.982524918401225,14.929720167614661
"[1.0, 0.0001]",lossweights11e-4,kld,84.74541702270508,10.479137041775646,3.912974079328146
"[1.0, 0.0001]",lossweights11e-4,loss,7.999534972508749,0.3979383658005537,0.14859262784141636
"[1.0, 0.0001]",lossweights11e-4,mae,0.5830419202645619,0.022817440228674567,0.008520172206498224
"[1.0, 0.0001]",lossweights11e-4,mse,0.8915788312753041,0.06370983454667081,0.023789643191570068
"[1.0, 0.0001]",lossweights11e-4,nb,7.9657278219858805,0.21413278807182523,0.0799584971471412
"[1.0, 0.0001]",lossweights11e-4,num_epochs,173.6,33.862399043268,12.644427608107879
"[1.0, 0.0001]",lossweights11e-4,r2,0.767423007885615,0.01628471789717486,0.00608081359817955
"[1.0, 0.0001]",lossweights11e-4,rmse,0.9436756074428558,0.03303873041978259,0.012336864689443337
"[1.0, 0.0001]",lossweights11e-4,time,49.56700320541859,9.696249234493703,3.620638967695977
"[1.0, 5e-05]",lossweights15e-5,best_epoch,149.03333333333333,46.14555930615818,17.23103502905431
"[1.0, 5e-05]",lossweights15e-5,kld,134.37538401285806,18.708869135681255,6.986006547067589
"[1.0, 5e-05]",lossweights15e-5,loss,7.9313584248224895,0.08285643995978993,0.030939103150914617
"[1.0, 5e-05]",lossweights15e-5,mae,0.5772049983342489,0.023456144532350995,0.008758668313064806
"[1.0, 5e-05]",lossweights15e-5,mse,0.8774324516455333,0.05841765271476428,0.02181351001869646
"[1.0, 5e-05]",lossweights15e-5,nb,7.926986503601074,0.07119161845963594,0.026583387218569267
"[1.0, 5e-05]",lossweights15e-5,num_epochs,183.1,43.680146204125656,16.310434647111542
"[1.0, 5e-05]",lossweights15e-5,r2,0.771111124753952,0.014986785108001948,0.005596157529602834
"[1.0, 5e-05]",lossweights15e-5,rmse,0.9362052460511525,0.03138498717105975,0.011719346811747952
"[1.0, 5e-05]",lossweights15e-5,time,52.05020057695607,12.409174779626195,4.633662014816263
"[1.0, 1e-05]",lossweights11e-5,best_epoch,155.73333333333332,43.71690538100741,16.324160749341363
"[1.0, 1e-05]",lossweights11e-5,kld,249.81356557210287,35.602009253577364,13.294008736204445
"[1.0, 1e-05]",lossweights11e-5,loss,7.931334034601847,0.10696487212214677,0.039941339667954996
"[1.0, 1e-05]",lossweights11e-5,mae,0.580579008658727,0.022065205350721803,0.00823928308678718
"[1.0, 1e-05]",lossweights11e-5,mse,0.8846309185028076,0.057790173193841256,0.021579205314893764
"[1.0, 1e-05]",lossweights11e-5,nb,7.927287928263346,0.07181674909483625,0.026816814834028577
"[1.0, 1e-05]",lossweights11e-5,num_epochs,195.0,43.5525841507355,16.26280219355819
"[1.0, 1e-05]",lossweights11e-5,r2,0.7692681153615316,0.014154350670339124,0.005285321402130747
"[1.0, 1e-05]",lossweights11e-5,rmse,0.9400794943173726,0.030197117690969028,0.011275789058214422
"[1.0, 1e-05]",lossweights11e-5,time,55.43922235655288,12.59499062521375,4.703046791865551
