norm_class,libnorm,znorm,learnable,config,metric,mean,sd,ci
RawCounts,True,False,True,normclassRawCounts_libnormTrue_znormFalse_learnableTrue,best_epoch,299.0,0.0,0.0
RawCounts,True,False,True,normclassRawCounts_libnormTrue_znormFalse_learnableTrue,loss,335734736.0,25908956.16620631,32170218.10261786
RawCounts,True,False,True,normclassRawCounts_libnormTrue_znormFalse_learnableTrue,mae,2.516178607940674,0.02073598368557392,0.02574712440971778
RawCounts,True,False,True,normclassRawCounts_libnormTrue_znormFalse_learnableTrue,mse,8.277075958251952,0.11523793326895512,0.1430867929674697
RawCounts,True,False,True,normclassRawCounts_libnormTrue_znormFalse_learnableTrue,num_epochs,299.0,0.0,0.0
RawCounts,True,False,True,normclassRawCounts_libnormTrue_znormFalse_learnableTrue,r2,-1.1371728897094726,0.045944839087955706,0.057048052598779715
RawCounts,True,False,True,normclassRawCounts_libnormTrue_znormFalse_learnableTrue,rmse,2.8769350051879883,0.020031061684489412,0.024871848139429407
RawCounts,True,False,True,normclassRawCounts_libnormTrue_znormFalse_learnableTrue,time,87.09722760133445,0.5867656641239827,0.7285658005248729
RawCounts,True,True,False,normclassRawCounts_libnormTrue_znormTrue_learnableFalse,best_epoch,63.2,15.959323293924463,19.816117169760755
RawCounts,True,True,False,normclassRawCounts_libnormTrue_znormTrue_learnableFalse,loss,2.8277655720710753,2.283520759502769,2.83536551622551
RawCounts,True,True,False,normclassRawCounts_libnormTrue_znormTrue_learnableFalse,mae,0.6541856288909912,0.007972468679268065,0.009899127335854283
RawCounts,True,True,False,normclassRawCounts_libnormTrue_znormTrue_learnableFalse,mse,1.1308909416198731,0.03628736569595628,0.04505671557432327
RawCounts,True,True,False,normclassRawCounts_libnormTrue_znormTrue_learnableFalse,num_epochs,107.8,17.527121840165318,21.76279618106422
RawCounts,True,True,False,normclassRawCounts_libnormTrue_znormTrue_learnableFalse,r2,0.7081041455268859,0.0060191358862109285,0.007473744330204451
RawCounts,True,True,False,normclassRawCounts_libnormTrue_znormTrue_learnableFalse,rmse,1.0633222579956054,0.017201329997323676,0.02135827217889927
RawCounts,True,True,False,normclassRawCounts_libnormTrue_znormTrue_learnableFalse,time,28.90878082588315,4.591238170080896,5.700775142968389
RawCounts,True,True,True,normclassRawCounts_libnormTrue_znormTrue_learnableTrue,best_epoch,67.8,11.691877522451216,14.517383391035526
RawCounts,True,True,True,normclassRawCounts_libnormTrue_znormTrue_learnableTrue,loss,2.8221176624298097,2.275896649801307,2.825898933690848
RawCounts,True,True,True,normclassRawCounts_libnormTrue_znormTrue_learnableTrue,mae,0.6556045651435852,0.00794941678797596,0.009870504632346367
RawCounts,True,True,True,normclassRawCounts_libnormTrue_znormTrue_learnableTrue,mse,1.1397718429565429,0.03657190394051487,0.045410016468703754
RawCounts,True,True,True,normclassRawCounts_libnormTrue_znormTrue_learnableTrue,num_epochs,102.6,8.049844718999243,9.995202378712074
RawCounts,True,True,True,normclassRawCounts_libnormTrue_znormTrue_learnableTrue,r2,0.7058120250701905,0.006053643711626747,0.007516591454679546
RawCounts,True,True,True,normclassRawCounts_libnormTrue_znormTrue_learnableTrue,rmse,1.0674893617630006,0.017259909393714634,0.02143100810643447
RawCounts,True,True,True,normclassRawCounts_libnormTrue_znormTrue_learnableTrue,time,28.0124597504735,1.96606924147434,2.4411973951144756
LogCounts,False,False,False,normclassLogCounts_libnormFalse_znormFalse_learnableFalse,best_epoch,289.2,6.7970581871865745,8.439662444725723
LogCounts,False,False,False,normclassLogCounts_libnormFalse_znormFalse_learnableFalse,loss,0.6732062637805939,0.019004702792794186,0.02359745525437513
LogCounts,False,False,False,normclassLogCounts_libnormFalse_znormFalse_learnableFalse,mae,0.5577693581581116,0.010137714480128993,0.012587635094045183
LogCounts,False,False,False,normclassLogCounts_libnormFalse_znormFalse_learnableFalse,mse,0.6781736016273499,0.02508986964783752,0.031153187861345244
LogCounts,False,False,False,normclassLogCounts_libnormFalse_znormFalse_learnableFalse,num_epochs,299.0,0.0,0.0
LogCounts,False,False,False,normclassLogCounts_libnormFalse_znormFalse_learnableFalse,r2,0.8249658942222595,0.004322059177158765,0.00536654527838425
LogCounts,False,False,False,normclassLogCounts_libnormFalse_znormFalse_learnableFalse,rmse,0.8233995199203491,0.01528161759324365,0.018974634399847944
LogCounts,False,False,False,normclassLogCounts_libnormFalse_znormFalse_learnableFalse,time,81.76139090098441,1.3523438949822117,1.6791567275900676
LogCounts,False,False,True,normclassLogCounts_libnormFalse_znormFalse_learnableTrue,best_epoch,293.6,5.128352561983231,6.367690746310631
LogCounts,False,False,True,normclassLogCounts_libnormFalse_znormFalse_learnableTrue,loss,0.6735631167888642,0.010311068917646694,0.01280288305803977
LogCounts,False,False,True,normclassLogCounts_libnormFalse_znormFalse_learnableTrue,mae,0.5569306015968323,0.007871174433524142,0.009773353917688852
LogCounts,False,False,True,normclassLogCounts_libnormFalse_znormFalse_learnableTrue,mse,0.6780589103698731,0.02005842258968449,0.024905821190368386
LogCounts,False,False,True,normclassLogCounts_libnormFalse_znormFalse_learnableTrue,num_epochs,299.0,0.0,0.0
LogCounts,False,False,True,normclassLogCounts_libnormFalse_znormFalse_learnableTrue,r2,0.8249662637710571,0.003976887304610957,0.004937957791049019
LogCounts,False,False,True,normclassLogCounts_libnormFalse_znormFalse_learnableTrue,rmse,0.823371684551239,0.012144064555397086,0.01507884775029901
LogCounts,False,False,True,normclassLogCounts_libnormFalse_znormFalse_learnableTrue,time,81.08202278874815,0.5633859140722618,0.6995360065986476
LogCounts,False,True,False,normclassLogCounts_libnormFalse_znormTrue_learnableFalse,best_epoch,264.4,32.94389169481955,40.905244278181485
