embed_dim,hidden_dims,lr,config,metric,mean,sd,ci
128,1,0.0005,embeddim128_hiddendims1_lr5e-4,best_epoch,267.16,27.90535022945549,7.930612786718294
128,1,0.0005,embeddim128_hiddendims1_lr5e-4,loss,0.23597632095217702,0.02464892162167687,0.007005146016241276
128,1,0.0005,embeddim128_hiddendims1_lr5e-4,mae,0.4916749107837677,0.009281401719898462,0.0026377451833878057
128,1,0.0005,embeddim128_hiddendims1_lr5e-4,mse,0.5484256446361542,0.020093262599343634,0.005710442047383417
128,1,0.0005,embeddim128_hiddendims1_lr5e-4,num_epochs,289.4,16.22419458080795,4.610865082816485
128,1,0.0005,embeddim128_hiddendims1_lr5e-4,r2,0.8565192544460296,0.004238957236528515,0.0012046983172022694
128,1,0.0005,embeddim128_hiddendims1_lr5e-4,rmse,0.7404366183280945,0.013524543795852884,0.0038436328187956763
128,1,0.0005,embeddim128_hiddendims1_lr5e-4,time,78.87557781137527,4.4899496964217,1.2760295850570538
128,1,0.001,embeddim128_hiddendims1_lr1e-3,best_epoch,163.12,31.57927504305471,8.97473066607093
128,1,0.001,embeddim128_hiddendims1_lr1e-3,loss,0.22144869312644,0.03335766299987308,0.009480142931250187
128,1,0.001,embeddim128_hiddendims1_lr1e-3,mae,0.4917151951789856,0.010072384371594998,0.00286253996575163
128,1,0.001,embeddim128_hiddendims1_lr1e-3,mse,0.548422971367836,0.02156913894110993,0.006129881462813943
128,1,0.001,embeddim128_hiddendims1_lr1e-3,num_epochs,195.22,31.97977039138515,9.088550184707108
128,1,0.001,embeddim128_hiddendims1_lr1e-3,r2,0.8565213286876678,0.004677614553366359,0.0013293633472877835
128,1,0.001,embeddim128_hiddendims1_lr1e-3,rmse,0.7404156827926636,0.014554252323848183,0.004136272744529073
128,1,0.001,embeddim128_hiddendims1_lr1e-3,time,53.28557283651084,8.491471187286558,2.4132494099594317
128,2,0.0005,embeddim128_hiddendims2_lr5e-4,best_epoch,192.64,37.5558142459123,10.673244314270013
128,2,0.0005,embeddim128_hiddendims2_lr5e-4,loss,0.30175810948014253,0.03721694914094287,0.01057693991700047
128,2,0.0005,embeddim128_hiddendims2_lr5e-4,mae,0.4945670282840729,0.009748950432951643,0.0027706210574285897
128,2,0.0005,embeddim128_hiddendims2_lr5e-4,mse,0.5572384035587311,0.02148255066508844,0.006105273347045833
128,2,0.0005,embeddim128_hiddendims2_lr5e-4,num_epochs,225.48,35.03772893581421,9.957612387270144
128,2,0.0005,embeddim128_hiddendims2_lr5e-4,r2,0.8542117655277253,0.00471589629655086,0.001340242898323722
128,2,0.0005,embeddim128_hiddendims2_lr5e-4,rmse,0.7463483834266662,0.014374581648027131,0.004085210903435939
128,2,0.0005,embeddim128_hiddendims2_lr5e-4,time,95.65885673906654,14.578782951822575,4.14324427186273
128,2,0.001,embeddim128_hiddendims2_lr1e-3,best_epoch,130.98,30.522317027622492,8.674346521694085
128,2,0.001,embeddim128_hiddendims2_lr1e-3,loss,0.2578651016950607,0.0376872473043554,0.01071059717618773
128,2,0.001,embeddim128_hiddendims2_lr1e-3,mae,0.49431248784065246,0.010622518955517817,0.003018886484601946
128,2,0.001,embeddim128_hiddendims2_lr1e-3,mse,0.5560241949558258,0.021681679334446185,0.00616186508871636
128,2,0.001,embeddim128_hiddendims2_lr1e-3,num_epochs,163.38,30.10518295603477,8.555798330228725
128,2,0.001,embeddim128_hiddendims2_lr1e-3,r2,0.854526377916336,0.004879572120500556,0.001386759052810883
128,2,0.001,embeddim128_hiddendims2_lr1e-3,rmse,0.7455314385890961,0.014536099615433255,0.004131113801878823
128,2,0.001,embeddim128_hiddendims2_lr1e-3,time,69.47169840928167,12.633069227936732,3.590278549839488
128,3,0.0005,embeddim128_hiddendims3_lr5e-4,best_epoch,142.9,19.151650432422638,5.4428388304479505
128,3,0.0005,embeddim128_hiddendims3_lr5e-4,loss,0.3560641533136368,0.03017965057502465,0.008576961793381905
128,3,0.0005,embeddim128_hiddendims3_lr5e-4,mae,0.5002040421962738,0.00944894234874902,0.002685359703274909
128,3,0.0005,embeddim128_hiddendims3_lr5e-4,mse,0.5686046993732452,0.020377986342892358,0.00579135963998494
128,3,0.0005,embeddim128_hiddendims3_lr5e-4,num_epochs,174.72,18.199618744605054,5.1722744184379
128,3,0.0005,embeddim128_hiddendims3_lr5e-4,r2,0.8512354397773743,0.0044139309313097905,0.0012544252910535816
128,3,0.0005,embeddim128_hiddendims3_lr5e-4,rmse,0.7539401662349701,0.013512166528974391,0.0038401152384691744
