label,global,basal,her2,lumA,lumB,norm
path:hsa04728,0.00202138,0.0007394867,0.001725974,0.002609946,0.0010473153,0.00329806
path:hsa04973,0.0019364699,0.0009930873,0.0007647655,0.002040457,0.0023075563,0.0032195766
path:hsa00440,0.0019075182,0.0018271399,0.0015131109,0.0015805179,0.0023883479,0.0030968932
path:hsa05412,0.0018965728,0.0012421854,0.0008151481,0.0022888656,0.0010943128,0.003323698
path:hsa00053,0.0018693258,0.00052005315,0.0025360817,0.002170869,0.0013257656,0.0032193614
path:hsa05323,0.0018648952,0.003213067,0.0009502263,0.0013996231,0.0014719076,0.0032562038
path:hsa00430,0.0018528035,0.0003178429,0.0010125954,0.0026381381,0.00097441697,0.0027947659
path:hsa04940,0.0018456334,0.0024464086,0.0010264565,0.0017143051,0.0013905518,0.0028980158
path:hsa04024,0.0017984796,0.0010492086,0.0013912987,0.002070835,0.0010692596,0.003372709
path:hsa00510,0.0017878555,0.0011767766,0.0022539592,0.0016525264,0.0017969952,0.0031818731
path:hsa03460,0.0017756445,0.0012743624,0.001091828,0.0018779528,0.0015181974,0.0031049782
path:hsa00790,0.0017335189,0.0006492507,0.0020684842,0.0013248506,0.003025978,0.0030552724
path:hsa05213,0.0017071255,0.00094800076,0.0015241896,0.0019334636,0.0010199713,0.0032905263
path:hsa04915,0.0016984121,0.0011174392,0.0004296847,0.0016218107,0.0022180155,0.0030579634
path:hsa00470,0.0016926065,0.0041977973,0.0005481762,0.0010985335,0.00060915895,0.0031614364
path:hsa04925,0.0016722579,0.0007711033,0.002234501,0.0018574712,0.0008857479,0.003354082
path:hsa04713,0.0016568972,0.00079248595,0.0014643635,0.0019261837,0.00088792096,0.0033651239
path:hsa04145,0.0016489493,0.0016763108,0.0011500395,0.0014200389,0.0016132884,0.003185937
path:hsa04122,0.0016430009,0.0016018542,0.0011181751,0.00158411,0.0011538785,0.0032978305
path:hsa05143,0.0016053187,0.0023578256,0.00078200083,0.0014057755,0.00084538927,0.003304718
path:hsa00750,0.0016050024,0.00045404318,0.0041381624,0.0013740637,0.0014404628,0.003244607
path:hsa05330,0.0015998351,0.0011394522,0.00079815224,0.0016944208,0.0012053384,0.003235899
path:hsa04215,0.0015914977,0.000753275,0.0008035783,0.0016963528,0.0015888932,0.0030995659
path:hsa04066,0.0015732193,0.00071191863,0.0037195385,0.0013974059,0.0010798838,0.0033181335
path:hsa05205,0.0015523256,0.0011569364,0.0008448655,0.0015849113,0.0011816692,0.0032758948
path:hsa00190,0.0015523196,0.0011964096,0.0009844116,0.0015356152,0.0012620637,0.0032061564
path:hsa05225,0.001516981,0.0009294085,0.0010169125,0.0016282343,0.0009981104,0.0033017246
path:hsa04217,0.0015114608,0.0012847588,0.00072459405,0.0014099259,0.0012477752,0.0034784582
path:hsa04070,0.0014942576,0.00049108086,0.0005201591,0.0016899268,0.0014529389,0.0030377095
path:hsa05332,0.0014804262,0.0015432354,0.00074144296,0.0014112144,0.0009857853,0.0031717743
path:hsa04725,0.0014642332,0.0006990604,0.0004067996,0.0014796547,0.0017093965,0.003034181
path:hsa05212,0.0014418641,0.00093389896,0.0011030774,0.0014467161,0.0010246837,0.0033203599
path:hsa05320,0.0014393812,0.0010810085,0.00080543454,0.0014417233,0.0010022776,0.0033208092
path:hsa04621,0.0014392297,0.00074478734,0.000789498,0.0015556485,0.0010274723,0.0032946798
path:hsa05167,0.0014272413,0.0007761636,0.00080631935,0.0014962994,0.0010547596,0.0033528581
path:hsa05170,0.0014255069,0.00086560997,0.0012921102,0.0014736061,0.0008691854,0.003284329
path:hsa00920,0.0014244041,0.0006895459,0.0013848133,0.0015257306,0.00085620955,0.0032731588
path:hsa05020,0.0014211437,0.00077551673,0.0008227786,0.0015565433,0.0008676341,0.003320483
path:hsa04270,0.001416561,0.0007533002,0.00076646823,0.0014942356,0.0009911346,0.0034389696
path:hsa04064,0.0014123414,0.0008870217,0.00071904337,0.0015561645,0.0007936068,0.003248898
path:hsa05022,0.0014033716,0.0012722979,0.0010311231,0.001341456,0.0009415603,0.0030690043
path:hsa05217,0.0013986331,0.00078720006,0.00080327754,0.0014957148,0.00088246854,0.0033607257
path:hsa04360,0.0013866219,0.0007856724,0.00080389396,0.001474267,0.0008782007,0.0033546258
path:hsa00565,0.0013828316,0.0006649846,0.00092575897,0.0014871242,0.00093487266,0.0032675143
path:hsa00590,0.0013785715,0.000389837,0.0013428018,0.0013733099,0.0014088383,0.0030988676
path:hsa00604,0.0013773663,0.0007799187,0.0008030059,0.0014579984,0.00088045857,0.0033473368
path:hsa01522,0.0013704511,0.00075341517,0.000856258,0.0014497248,0.0008695601,0.0033451542
path:hsa00983,0.0013687774,0.00040420983,0.0004914805,0.0014576936,0.0016193693,0.0027742155
path:hsa04136,0.0013686998,0.0007131999,0.00076229405,0.001398361,0.0011065747,0.0032864588
path:hsa00330,0.0013639844,0.0007599208,0.0008110712,0.0014490233,0.0008702471,0.0033018095
path:hsa00860,0.001357384,0.0006880814,0.0011969046,0.0014275786,0.0008697985,0.0031877758
path:hsa00740,0.0013552246,0.0004000001,0.00067696563,0.0013534795,0.0016638351,0.0029507342
path:hsa04924,0.0013551761,0.000997128,0.00071410736,0.0013857732,0.0007946069,0.0033267639
path:hsa01521,0.0013546448,0.00066535105,0.00095354236,0.0014616826,0.0008223988,0.003290942
path:hsa05164,0.0013529073,0.00152185,0.00067534583,0.001225768,0.00085700356,0.0031096933
path:hsa04115,0.0013527939,0.00074783596,0.0007900549,0.0014371643,0.0008630712,0.003295247
path:hsa04390,0.0013506698,0.00075170264,0.0007827661,0.0014289999,0.00086142856,0.0033160606
path:hsa05221,0.0013498154,0.00074258394,0.0007829697,0.0014305091,0.0008571243,0.003323288
path:hsa04610,0.0013483636,0.0007197283,0.0007730361,0.0014363496,0.0008770774,0.0032888683
