labels,global,basal,her2,lumA,lumB,norm
NFKBIA,0.001850396,0.0018257577,0.0018225595,0.0018596136,0.0018612748,0.0018468503
IKBKG,0.0018455896,0.0018276836,0.0019168989,0.0018564697,0.0018339341,0.0017916398
IL1B,0.0018294554,0.0018501187,0.001816782,0.0018203262,0.001805526,0.0018930162
DGLUCY,0.0018274508,0.0023794204,0.0018467,0.0016652363,0.0017606016,0.0017945088
E2F2,0.0018132663,0.0028045678,0.0023858813,0.0013370016,0.0024490326,0.00090026925
CALM1,0.0018108959,0.0017345459,0.0018653198,0.001798706,0.0018601875,0.0018749422
CREB1,0.0017982565,0.001808705,0.0017705701,0.0017904625,0.0017776933,0.0018775478
GRB2,0.0017871872,0.0016690647,0.0017858554,0.001820143,0.0018450365,0.0017205604
FOS,0.00172601,0.0016890178,0.0016809751,0.0017237808,0.0016912691,0.0018986984
SOS2,0.0017166927,0.0016543503,0.0016934137,0.0017203497,0.0017126983,0.0018311829
GOT1,0.0017135331,0.0016550644,0.0015810337,0.0017812457,0.0016417371,0.0017022471
EGFR,0.0017020593,0.0017006181,0.0016683723,0.0017076653,0.0016425012,0.0018108456
SOS1,0.0016987004,0.0016943152,0.0016690702,0.0016904026,0.0016712222,0.0018205991
BRAF,0.0016813903,0.0015800513,0.0015474275,0.001711,0.0016671313,0.0018320257
CREB5,0.0016377369,0.0015844007,0.0016122499,0.0016557068,0.0016381069,0.0016577302
GOT2,0.0016258928,0.0017217398,0.0016753994,0.0016195601,0.0015283645,0.0016352574
GSK3B,0.0016142096,0.0015789419,0.0016393756,0.0016140731,0.0016434822,0.0016039802
TLR4,0.0016087798,0.0016718368,0.0016433741,0.0015816394,0.0016171867,0.0015953346
RAC1,0.0016069461,0.0015969081,0.001634708,0.0016083921,0.0016149794,0.0015821297
TAT,0.0015849149,0.0015783611,0.001620886,0.0015839092,0.0016819449,0.0013958565
BAD,0.0015785496,0.0015122667,0.0015597291,0.0016317826,0.0015442069,0.0015022898
CASP3,0.0015735029,0.0015501376,0.0015059031,0.0015920172,0.0015202338,0.0016682595
ATF4,0.0015442657,0.0015450871,0.0014761493,0.0015668455,0.0014964504,0.0015665982
IL6,0.0015400734,0.0015209533,0.0015211226,0.0015297274,0.0015047349,0.0017047983
CCND1,0.001534007,0.0012364687,0.0012880141,0.0016281463,0.0017636439,0.0013308121
CREB3,0.0015233316,0.0015085354,0.001485524,0.0015400443,0.0015091473,0.0015183454
CREB3L2,0.0015198158,0.0016186107,0.0015066189,0.0014985094,0.001491405,0.001517365
IL4I1,0.0015037104,0.0017011509,0.0015808019,0.0013982379,0.0015911502,0.0014747927
AOX1,0.0015016554,0.0014790504,0.0014660398,0.001529813,0.0015652874,0.0013069456
ARAF,0.0014838403,0.0013677495,0.0014162697,0.0015268599,0.0014650435,0.0015526459
CASP9,0.001480489,0.0015077699,0.0014804993,0.0014720391,0.0014732543,0.0014889989
CAMK2B,0.0014753862,0.0014337155,0.0014741799,0.0014836157,0.0014369941,0.0015783319
BCL2,0.0014722524,0.0016119408,0.0016431665,0.0014169965,0.0014674393,0.0013928105
RB1,0.0014479968,0.0013420787,0.0013724763,0.0014835419,0.0014233259,0.0015534764
PLA2G4F,0.0014421042,0.0013171205,0.0015098677,0.0014767513,0.0014981152,0.001332151
LEF1,0.0014339153,0.001200572,0.0015131622,0.0015713624,0.0015425162,0.00088781
BAK1,0.0013878979,0.0015351443,0.0014086227,0.0013601708,0.0013636872,0.001301043
