loss_weights,config,metric,mean,sd,ci
"[1.0, 1.0]",lossweights11,best_epoch,250.76,79.79989557219567,32.939777937904175
"[1.0, 1.0]",lossweights11,kld,0.0001657968882500265,0.0005075876373160429,0.00020952187891134922
"[1.0, 1.0]",lossweights11,loss,8.062653398513794,0.03353306507521143,0.013841768955141606
"[1.0, 1.0]",lossweights11,mae,0.7054016852378845,0.012897134511466322,0.005323675473467696
"[1.0, 1.0]",lossweights11,mse,1.2476706314086914,0.04022910964679638,0.0166057603071198
"[1.0, 1.0]",lossweights11,nb,8.06428482055664,0.03785865384755471,0.01562728424422827
"[1.0, 1.0]",lossweights11,num_epochs,255.84,80.33040105298451,33.15875983765135
"[1.0, 1.0]",lossweights11,r2,0.6748004221916198,0.007248681127685078,0.0029921085106258756
"[1.0, 1.0]",lossweights11,rmse,1.1168530893325805,0.017964164998877902,0.007415242860406515
"[1.0, 1.0]",lossweights11,time,72.04888220697642,22.4437974402818,9.264344250893652
"[1.0, 0.1]",lossweights10.1,best_epoch,188.12,84.07353923797903,34.703851340848374
"[1.0, 0.1]",lossweights10.1,kld,0.003369821473606816,0.005286625165894108,0.0021822116151510693
"[1.0, 0.1]",lossweights10.1,loss,8.048202114105225,0.03081014527314955,0.012717802902560655
"[1.0, 0.1]",lossweights10.1,mae,0.7037521290779114,0.013351873480412058,0.005511382494252356
"[1.0, 0.1]",lossweights10.1,mse,1.235764923095703,0.042105666723646365,0.017380364997464502
"[1.0, 0.1]",lossweights10.1,nb,8.049414596557618,0.03371129671034857,0.013915339358220919
"[1.0, 0.1]",lossweights10.1,num_epochs,206.92,85.960223359412,35.482636269742756
"[1.0, 0.1]",lossweights10.1,r2,0.6779180097579957,0.007360046297687385,0.0030380777934625202
"[1.0, 0.1]",lossweights10.1,rmse,1.1114961004257202,0.01885653635132426,0.007783595650556902
"[1.0, 0.1]",lossweights10.1,time,57.45245970994234,23.428192479823338,9.670682552130359
"[1.0, 0.01]",lossweights10.01,best_epoch,214.24,81.38759119177811,33.595146479016044
"[1.0, 0.01]",lossweights10.01,kld,2.980302321910858,1.158967045772107,0.4783980837486657
"[1.0, 0.01]",lossweights10.01,loss,7.989400835037231,0.04045745672555137,0.01670001734859867
"[1.0, 0.01]",lossweights10.01,mae,0.6337421417236329,0.03202976394885695,0.013221236748666173
"[1.0, 0.01]",lossweights10.01,mse,1.0380897879600526,0.09347909053195766,0.03858627209824058
"[1.0, 0.01]",lossweights10.01,nb,7.96319320678711,0.04957232084000334,0.020462448335649124
"[1.0, 0.01]",lossweights10.01,num_epochs,232.48,81.1265061493468,33.48737587030871
