embed_dim,num_heads,aggregate,config,metric,mean,sd,ci
64,1,concat,embeddim64_numheads1_aggregateConcat,best_epoch,265.0,16.062378404209007,19.944076990031995
64,1,concat,embeddim64_numheads1_aggregateConcat,kld,81.8761001586914,2.2230925407452964,2.7603339725187723
64,1,concat,embeddim64_numheads1_aggregateConcat,loss,8.017239093780518,0.1296398695941457,0.16096915880688187
64,1,concat,embeddim64_numheads1_aggregateConcat,mae,0.5609738111495972,0.009259926677934936,0.011497717581998397
64,1,concat,embeddim64_numheads1_aggregateConcat,mse,0.8292351484298706,0.026896361360075,0.03339624358348403
64,1,concat,embeddim64_numheads1_aggregateConcat,nb,8.039266681671142,0.1793343790812541,0.22267304214541997
64,1,concat,embeddim64_numheads1_aggregateConcat,num_epochs,297.2,4.024922359499622,4.997601189356037
64,1,concat,embeddim64_numheads1_aggregateConcat,r2,0.783156418800354,0.006569887299758736,0.008157592532366576
64,1,concat,embeddim64_numheads1_aggregateConcat,rmse,0.9105269312858582,0.01482669599296287,0.018409774626774043
64,1,concat,embeddim64_numheads1_aggregateConcat,time,74.97164521291852,2.0290673610691172,2.5194198921698434
64,1,mean,embeddim64_numheads1_aggregateMean,best_epoch,194.0,37.960505792204614,47.13419339578601
64,1,mean,embeddim64_numheads1_aggregateMean,kld,78.47947692871094,5.0189776714136975,6.231883882382962
64,1,mean,embeddim64_numheads1_aggregateMean,loss,8.01630620956421,0.16996750517409523,0.21104253203918658
64,1,mean,embeddim64_numheads1_aggregateMean,mae,0.5723568081855774,0.008638935200949584,0.010726654821834304
64,1,mean,embeddim64_numheads1_aggregateMean,mse,0.8719081521034241,0.026986621444171095,0.03350831628038097
64,1,mean,embeddim64_numheads1_aggregateMean,nb,8.048408699035644,0.23715152437649203,0.2944625099374333
64,1,mean,embeddim64_numheads1_aggregateMean,num_epochs,232.0,31.0,38.49158394431676
64,1,mean,embeddim64_numheads1_aggregateMean,r2,0.7719905376434326,0.006861191599023814,0.008519294593286004
64,1,mean,embeddim64_numheads1_aggregateMean,rmse,0.9336697101593018,0.01453527229690354,0.01804792431515367
64,1,mean,embeddim64_numheads1_aggregateMean,time,58.03099126964808,7.082614690482141,8.794227674320789
64,2,concat,embeddim64_numheads2_aggregateConcat,best_epoch,204.6,22.908513701242164,28.44467671519011
64,2,concat,embeddim64_numheads2_aggregateConcat,kld,78.68201751708985,2.40663811858831,2.988235908555954
64,2,concat,embeddim64_numheads2_aggregateConcat,loss,7.949937105178833,0.0892392813141645,0.1108052028333761
64,2,concat,embeddim64_numheads2_aggregateConcat,mae,0.5668591141700745,0.01173185681174983,0.014567024235231367
64,2,concat,embeddim64_numheads2_aggregateConcat,mse,0.8568686127662659,0.03285201923411368,0.04079116955129663
64,2,concat,embeddim64_numheads2_aggregateConcat,nb,7.961490726470947,0.11122731133805143,0.13810694810546012
64,2,concat,embeddim64_numheads2_aggregateConcat,num_epochs,242.2,22.971721746530015,28.52315986942087
64,2,concat,embeddim64_numheads2_aggregateConcat,r2,0.7759280323982238,0.008255312402940404,0.010250324204656104
64,2,concat,embeddim64_numheads2_aggregateConcat,rmse,0.9255351066589356,0.017796922581937904,0.022097798048811925
64,2,concat,embeddim64_numheads2_aggregateConcat,time,64.56848194673657,6.1780136173775375,7.671017089110308
64,2,mean,embeddim64_numheads2_aggregateMean,best_epoch,178.2,31.94839589087377,39.66917297805911
64,2,mean,embeddim64_numheads2_aggregateMean,kld,77.6428955078125,4.101890404675653,5.093169640063238
64,2,mean,embeddim64_numheads2_aggregateMean,loss,7.938709354400634,0.05411014279624924,0.0671866162477676
64,2,mean,embeddim64_numheads2_aggregateMean,mae,0.565886652469635,0.009872628341151019,0.012258487178853385
64,2,mean,embeddim64_numheads2_aggregateMean,mse,0.8526954650878906,0.03134823094296149,0.038923969769252595
64,2,mean,embeddim64_numheads2_aggregateMean,nb,7.945213699340821,0.07579283831575442,0.0941092386583512
64,2,mean,embeddim64_numheads2_aggregateMean,num_epochs,204.4,39.88483421051165,49.52356271351825
64,2,mean,embeddim64_numheads2_aggregateMean,r2,0.7770072937011718,0.008261257455288034,0.010257705962123618
64,2,mean,embeddim64_numheads2_aggregateMean,rmse,0.9232888698577881,0.017071410944473297,0.02119695636829426
64,2,mean,embeddim64_numheads2_aggregateMean,time,54.69878327921033,10.25396421466067,12.731978204213913
64,4,concat,embeddim64_numheads4_aggregateConcat,best_epoch,205.2,56.93592890258312,70.69529312262675
64,4,concat,embeddim64_numheads4_aggregateConcat,kld,73.34243850708008,8.032727880049142,9.973949016024678
64,4,concat,embeddim64_numheads4_aggregateConcat,loss,7.955913543701172,0.09089753777249632,0.11286420017747573
64,4,concat,embeddim64_numheads4_aggregateConcat,mae,0.5738076090812683,0.011737273946261003,0.014573750496127351
64,4,concat,embeddim64_numheads4_aggregateConcat,mse,0.8781983256340027,0.03963967156324347,0.04921915308070103
64,4,concat,embeddim64_numheads4_aggregateConcat,nb,7.971502208709717,0.12579296489449515,0.15619259573680494
64,4,concat,embeddim64_numheads4_aggregateConcat,num_epochs,235.8,44.30237013975663,55.008658037633374
64,4,concat,embeddim64_numheads4_aggregateConcat,r2,0.7703782796859742,0.009279214207024955,0.011521666212483812
64,4,concat,embeddim64_numheads4_aggregateConcat,rmse,0.9369269847869873,0.021393634630468884,0.02656370591137852
